price,size,rooms,floor,year_built,city,neighborhood,coordinates,features
87637.38338592609,94.90142459033699,2,9,2003,Stara Zagora,Boyana,"{'lat': 42.59724022485876, 'lng': 23.251410517587463}",['elevator']
70803.95370762073,75.85207096486447,1,1,2010,Stara Zagora,Lyulin,"{'lat': 42.78950391806388, 'lng': 23.3285823490404}","['parking', 'balcony']"
172586.9250001043,99.43065614302077,2,13,1998,Sofia,Mladost,"{'lat': 42.793967424802794, 'lng': 23.424291338240014}",['elevator']
166043.51003717456,125.69089569224076,2,2,2001,Plovdiv,Lyulin,"{'lat': 42.73293091452495, 'lng': 23.314029341068032}",['elevator']
94193.35997801759,72.97539875829992,4,2,2020,Sofia,Center,"{'lat': 42.60270060033148, 'lng': 23.49866712645733}",['elevator']
207005.4976103921,72.97589129152459,3,13,2016,Sofia,Lozenets,"{'lat': 42.55821559282899, 'lng': 23.31187340882085}","['parking', 'balcony']"
86500.3632388739,127.37638446522175,3,13,1975,Stara Zagora,Boyana,"{'lat': 42.78327990035454, 'lng': 23.384673757753134}",['elevator']
129847.4229584915,103.02304187458726,2,6,1994,Burgas,Boyana,"{'lat': 42.58449109095607, 'lng': 23.25800969971324}","['parking', 'balcony']"
114299.29431780125,65.91576842195144,4,4,1989,Sofia,Lyulin,"{'lat': 42.62010452278824, 'lng': 23.1019565770434}","['parking', 'balcony']"
138559.02666613087,96.27680130757894,2,13,1969,Plovdiv,Lozenets,"{'lat': 42.7130326741745, 'lng': 23.228238460376}","['parking', 'balcony']"
100658.00171968454,66.09746921562613,1,11,1997,Varna,Lyulin,"{'lat': 42.85054822847114, 'lng': 23.36151744381887}","['parking', 'balcony']"
128714.03259955687,66.0281073928923,3,10,1977,Sofia,Mladost,"{'lat': 42.70414019502142, 'lng': 23.252730046762913}",['elevator']
132040.26108138516,87.25886814698103,2,13,2009,Sofia,Vitosha,"{'lat': 42.71151160697857, 'lng': 23.274412618408423}",['elevator']
28438.89520085071,25.0,2,3,1964,Plovdiv,Lozenets,"{'lat': 42.70695391088931, 'lng': 23.490163577083198}","['parking', 'balcony']"
24179.9836098967,28.252465024609016,3,3,2012,Burgas,Vitosha,"{'lat': 42.59352438446523, 'lng': 23.283135813135175}","['parking', 'balcony']"
141768.84900098576,63.13137412277082,4,3,1988,Sofia,Mladost,"{'lat': 42.77063884003022, 'lng': 23.259985915821417}","['parking', 'balcony']"
80909.06177331181,49.61506638996729,3,6,1998,Sofia,Vitosha,"{'lat': 42.85805418406084, 'lng': 23.367845915301185}","['parking', 'balcony']"
191305.5227547449,89.42741997785822,3,14,2019,Burgas,Center,"{'lat': 42.62811095848304, 'lng': 23.320406870227497}",['elevator']
57305.58482796957,52.759277734363664,5,8,1993,Plovdiv,Vitosha,"{'lat': 42.62953912658122, 'lng': 23.22033416856459}",['elevator']
77617.93610852679,37.630888959941245,2,11,2002,Sofia,Mladost,"{'lat': 42.68598020202904, 'lng': 23.42637611619018}","['parking', 'balcony']"
176207.8719490526,123.96946306764661,2,7,2021,Burgas,Vitosha,"{'lat': 42.774544503978476, 'lng': 23.297742239350274}",['elevator']
143327.22655910597,73.22671098540393,2,14,2004,Sofia,Boyana,"{'lat': 42.77811861948024, 'lng': 23.326861871041583}",['elevator']
58496.54547072324,82.02584614063771,3,4,1982,Varna,Lyulin,"{'lat': 42.58301069743747, 'lng': 23.28548623808117}","['parking', 'balcony']"
26734.28363753215,37.257554413596296,3,11,1964,Stara Zagora,Center,"{'lat': 42.69268404040186, 'lng': 23.376169033692598}",['elevator']
53914.51048773429,63.66851826424452,4,12,1989,Varna,Boyana,"{'lat': 42.643352949939796, 'lng': 23.208733542433922}",['elevator']
87111.06814091501,83.32767769129599,3,4,1965,Sofia,Boyana,"{'lat': 42.695445304321325, 'lng': 23.235457549600547}","['parking', 'balcony']"
